user_id;name;age;gender;job_category;job_title;preferred_coffee_type;visit_frequency;average_spend;average_rating;cafes_visited;time_preferences;mood_activity;is_international
U0029;Hakan Azar;50;male;Academic;Professor;['Filter Coffee', 'Affogato'];7;24.3;0.0;0;['afternoon', 'morning'];reading;FALSE
U0030;Ryu Georgiou;51;male;Academic;Lecturer;['Cold Brew', 'Macchiato', 'Iced Latte'];15;28.15;3.97;6;['evening'];group study;TRUE
U0031;Duru Baloğlu;47;neutral;Support Staff;Research Technician;['Latte', 'Filter Coffee'];10;46.49;4.44;9;['evening', 'morning'];studying;FALSE
U0032;Selda Ayveroğlu;29;female;Student;Exchange Student;['Cold Brew', 'Cappuccino', 'Iced Latte'];12;24.24;4.07;3;['afternoon', 'evening'];group study;FALSE
U0033;Duru Adem;23;neutral;Medical;Pharmacist;['Turkish Coffee', 'Iced Latte'];7;58.49;0.0;0;['morning', 'afternoon'];relaxing;FALSE
U0034;Yusuf Ayışığıoğlu;29;male;Medical;Hospital Doctor;['Cold Brew', 'Flat White', 'Mocha'];14;52.59;3.78;13;['morning', 'afternoon'];reading;FALSE
U0035;Özgür Aykaç;53;male;Professional;Career Counselor;['Filter Coffee', 'Macchiato', 'Turkish Tea'];7;34.3;3.99;13;['evening', 'afternoon'];working;FALSE
U0036;Lars Smith;40;male;Administrative;University Administrator;['Affogato', 'Latte', 'Mocha'];9;44.22;4.2;2;['afternoon', 'morning'];socializing;TRUE
U0037;Nilay Aymelek;48;female;Support Staff;Campus Maintenance;['Cold Brew', 'Americano', 'Filter Coffee'];7;20.57;3.66;12;['morning', 'afternoon'];working;FALSE
U0038;Freya Choi;60;female;Academic;Associate Professor;['Turkish Coffee', 'Americano', 'Macchiato'];11;32.75;4.02;14;['afternoon', 'morning'];relaxing;TRUE
U0039;Doğan Ahyan;54;neutral;Support Staff;Bookstore Staff;['Flat White', 'Herbal Tea'];8;28.24;4.3;4;['afternoon', 'morning'];meeting;FALSE
U0040;Freya Park;26;female;Academic;Lecturer;['Flat White', 'Affogato', 'Mocha'];5;36.67;5.0;1;['afternoon'];working;TRUE
U0041;Nilay Aytoğan;23;female;Student;Undergraduate Student;['Latte', 'Affogato'];8;28.48;3.6;2;['morning'];socializing;FALSE
U0042;Ebru Afer;41;female;Professional;Financial Advisor;['Mocha', 'Espresso', 'Frappe'];13;33.42;4.4;1;['morning', 'afternoon'];group study;FALSE
U0043;Sakura Ferrari;29;female;Support Staff;Campus Maintenance;['Herbal Tea'];5;42.87;3.63;3;['afternoon', 'morning'];reading;TRUE
U0044;Zühal Baki;34;female;Professional;University Lawyer;['Turkish Coffee'];4;56.58;4.6;2;['evening'];meeting;FALSE
U0045;Jian Evans;45;male;Professional;Mental Health Counselor;['Turkish Tea'];9;39.97;3.76;9;['morning'];meeting;TRUE
U0046;Vikram Thomas;52;male;Administrative;Library Staff;['Affogato', 'Frappe'];11;21.42;4.23;6;['morning', 'afternoon'];group study;TRUE
U0047;Ali Ahraz;27;male;Professional;Career Counselor;['Espresso', 'Iced Latte', 'Frappe'];13;48.26;4.15;2;['morning', 'afternoon'];reading;FALSE
U0048;Gözde Barni;31;female;Support Staff;Cafeteria Staff;['Filter Coffee'];13;26.66;3.73;9;['afternoon'];meeting;FALSE
U0049;Leyla Şahin;54;female;Administrative;Student Affairs Officer;['Frappe', 'Macchiato', 'Herbal Tea'];5;37.78;4.6;8;['morning', 'afternoon'];reading;FALSE
U0050;Sakura Weber;34;female;Administrative;University Administrator;['Mocha', 'Latte', 'Filter Coffee'];6;32.75;3.77;9;['afternoon'];reading;TRUE
U0051;Yıldız Ağan;30;female;Support Staff;Bookstore Staff;['Americano'];11;20.37;3.94;14;['morning', 'afternoon'];reading;FALSE
U0052;Muhammed Ayşıl;23;male;Student;PhD Student;['Mocha'];18;12.04;3.7;2;['afternoon'];relaxing;FALSE
U0053;Freya Mueller;42;female;Professional;Financial Advisor;['Frappe', 'Americano', 'Filter Coffee'];15;54.06;3.6;4;['evening', 'morning'];working;TRUE
U0054;Eda Kaya;33;female;Administrative;IT Support;['Turkish Tea', 'Macchiato'];15;54.08;4.02;4;['morning', 'evening'];working;FALSE
U0055;İsmail Aykın;54;male;Professional;Campus Architect;['Iced Latte', 'Turkish Coffee'];6;45.55;4.04;11;['morning', 'afternoon'];group study;FALSE
U0056;Soo-jin Georgiou;38;female;Academic;Research Assistant;['Americano'];11;39.39;4.0;7;['evening', 'afternoon'];reading;TRUE
U0057;Ayşen Ayşe;47;neutral;Academic;Associate Professor;['Herbal Tea', 'Frappe'];4;31.66;3.97;10;['afternoon'];group study;FALSE
U0058;Mehmet Ali Aymutlu;50;male;Medical;Hospital Doctor;['Cappuccino'];5;57.66;4.2;3;['morning'];socializing;FALSE
U0059;Ece Aynur;34;female;Professional;University Lawyer;['Turkish Coffee'];4;57.49;4.32;5;['morning', 'evening'];reading;FALSE
U0060;Eda Azap;22;female;Student;PhD Student;['Iced Latte', 'Americano', 'Turkish Tea'];8;21.61;3.74;13;['evening'];meeting;FALSE
U0061;Yeliz Aynur;30;female;Student;Engineering Student;['Filter Coffee', 'Frappe'];9;22.71;3.78;13;['evening', 'morning'];meeting;FALSE
U0062;Lars Pappas;22;male;Student;Engineering Student;['Iced Latte', 'Herbal Tea', 'Cappuccino'];25;22.58;4.27;9;['morning'];meeting;TRUE
U0063;Aykut Ayveren;47;neutral;Medical;Medical Technician;['Turkish Tea'];15;42.04;3.66;5;['evening'];relaxing;FALSE
U0064;Esra Barni;48;female;Academic;Research Assistant;['Affogato', 'Mocha'];5;50.66;4.17;6;['evening'];reading;FALSE
U0065;Ali Baki;38;male;Academic;Associate Professor;['Filter Coffee', 'Frappe'];12;51.54;3.93;3;['evening', 'afternoon'];socializing;FALSE
U0066;Gülşen Ayhatun;26;female;Administrative;University Administrator;['Turkish Tea', 'Iced Latte'];14;52.95;4.05;2;['evening'];working;FALSE
U0067;Uğur Ayışığı;23;male;Student;Undergraduate Student;['Iced Latte', 'Cold Brew'];18;22.37;3.51;9;['afternoon', 'morning'];socializing;FALSE
U0068;Yusuf Acar;24;male;Student;Master's Student;['Americano', 'Cappuccino'];12;20.71;3.7;5;['evening', 'morning'];group study;FALSE
U0069;Leyla Aytürk;26;female;Administrative;Library Staff;['Filter Coffee'];11;45.3;3.52;8;['afternoon'];reading;FALSE
U0070;Ryu Taylor;50;male;Academic;Professor;['Herbal Tea', 'Macchiato', 'Cappuccino'];10;58.91;4.28;13;['evening', 'afternoon'];working;TRUE
U0071;Fatıma Aymelek;29;female;Professional;Financial Advisor;['Affogato', 'Turkish Coffee'];5;20.07;5.0;1;['afternoon', 'morning'];working;FALSE
U0072;Krishna Popov;38;male;Academic;Visiting Scholar;['Filter Coffee', 'Espresso', 'Turkish Coffee'];5;44.74;4.51;14;['morning'];relaxing;TRUE
U0073;Ahmet Aydoğan;27;male;Medical;Nurse;['Espresso', 'Cold Brew'];14;24.91;4.27;3;['afternoon', 'morning'];socializing;FALSE
U0074;Havva Azar;32;female;Support Staff;Research Technician;['Affogato', 'Cappuccino', 'Turkish Tea'];15;54.23;3.69;12;['evening'];relaxing;FALSE
U0075;Kübra Aymirza;23;female;Administrative;Student Affairs Officer;['Cold Brew', 'Frappe'];12;37.15;3.6;1;['morning'];relaxing;FALSE
U0076;Tolga Ayşün;32;male;Administrative;Library Staff;['Latte', 'Frappe'];4;51.89;4.6;6;['afternoon'];socializing;FALSE
U0077;Ülkü Ağtaş;48;female;Administrative;Department Secretary;['Herbal Tea', 'Mocha', 'Turkish Coffee'];10;28.95;3.83;7;['morning', 'evening'];working;FALSE
U0078;Ümmü Ağırbaş;34;female;Professional;Financial Advisor;['Espresso', 'Turkish Coffee'];5;23.3;4.49;7;['evening', 'afternoon'];group study;FALSE
U0079;Gabriela Kim;33;female;Support Staff;Cafeteria Staff;['Macchiato'];4;58.25;3.74;13;['morning', 'afternoon'];reading;TRUE
U0080;Isabella Jung;45;female;Professional;Financial Advisor;['Herbal Tea', 'Latte'];15;41.6;4.42;13;['afternoon'];studying;TRUE
U0081;Andreas Wagner;42;male;Academic;Professor;['Frappe'];14;52.59;3.91;12;['afternoon'];relaxing;TRUE
U0082;Tolga Ahmetcan;32;male;Professional;Mental Health Counselor;['Latte', 'Cappuccino', 'Affogato'];14;45.59;3.5;3;['afternoon', 'evening'];relaxing;FALSE
U0083;Yuna Brown;42;female;Administrative;Campus Security;['Americano', 'Mocha', 'Flat White'];11;44.32;3.59;9;['afternoon', 'evening'];reading;TRUE
U0084;Kübra Ağaoğlu;52;female;Support Staff;Laboratory Technician;['Flat White', 'Cold Brew'];5;28.52;3.64;8;['evening'];meeting;FALSE
U0085;Serkan Aykan;35;male;Medical;Hospital Doctor;['Affogato'];8;29.73;4.25;13;['evening'];studying;FALSE
U0086;Elif Çelik;30;female;Medical;Medical Technician;['Flat White', 'Macchiato'];7;57.93;3.63;3;['evening', 'afternoon'];studying;FALSE
U0087;Nalan Aydınlı;26;female;Support Staff;Cafeteria Staff;['Frappe', 'Latte', 'Americano'];10;45.44;4.0;6;['morning'];relaxing;FALSE
U0088;Isabella Desai;29;female;Medical;Medical Resident;['Iced Latte', 'Flat White'];15;48.05;3.76;10;['afternoon', 'evening'];reading;TRUE
U0089;Benjamin Tanaka;49;male;Professional;Campus Architect;['Americano'];12;52.87;4.35;2;['afternoon'];reading;TRUE
U0090;Kerem Ahmetcan;31;male;Support Staff;Research Technician;['Mocha', 'Herbal Tea', 'Cold Brew'];13;49.38;4.25;2;['morning'];studying;FALSE
U0091;Nazlı Ayözge;19;female;Student;PhD Student;['Macchiato', 'Flat White', 'Cold Brew'];11;14.7;3.92;13;['evening'];reading;FALSE
U0092;Priya Andreou;38;female;Professional;Career Counselor;['Turkish Coffee', 'Affogato'];9;35.65;4.53;3;['evening'];meeting;TRUE
U0093;Arjun Wilson;29;male;Administrative;Department Secretary;['Turkish Coffee', 'Espresso'];12;30.58;3.62;8;['evening'];socializing;TRUE
U0094;Dmitri Sato;38;male;Medical;Pharmacist;['Espresso', 'Filter Coffee'];5;45.43;4.05;12;['afternoon', 'evening'];studying;TRUE
U0095;Diego Shah;30;male;Student;Engineering Student;['Macchiato'];16;12.79;4.34;14;['evening', 'afternoon'];meeting;TRUE
U0096;Ülkü Azade;35;female;Medical;Clinical Researcher;['Turkish Coffee', 'Flat White', 'Cold Brew'];8;49.82;4.19;14;['evening'];socializing;FALSE
U0097;Hasan Afer;41;male;Professional;Mental Health Counselor;['Cappuccino'];10;53.55;0.0;0;['afternoon', 'morning'];studying;FALSE
U0098;Freya Wiśniewski;32;female;Medical;Nurse;['Turkish Coffee'];6;34.61;3.88;6;['afternoon'];relaxing;TRUE
U0099;Selda Barokçu;33;female;Support Staff;Campus Maintenance;['Americano'];13;24.94;4.36;8;['evening'];studying;FALSE
U0100;Ayşen Özdemir;40;neutral;Support Staff;Laboratory Technician;['Macchiato'];6;43.46;4.2;7;['afternoon', 'evening'];meeting;FALSE
U0101;Meryem Azar;50;female;Administrative;Student Affairs Officer;['Turkish Tea', 'Affogato', 'Cappuccino'];9;48.85;3.67;3;['morning', 'evening'];studying;FALSE
U0102;Zübeyde Kaya;47;female;Medical;Pharmacist;['Americano', 'Macchiato'];5;24.1;4.56;5;['afternoon', 'evening'];studying;FALSE
U0103;İpek Ayşın;53;female;Medical;Clinical Researcher;['Cold Brew', 'Turkish Coffee'];5;39.86;4.44;13;['afternoon'];relaxing;FALSE
U0104;Özlem Aydoğdu;27;female;Student;Arts Student;['Cappuccino', 'Frappe', 'Espresso'];23;22.13;3.77;9;['morning'];working;FALSE
U0105;Hakan Ayşirin;51;male;Support Staff;Laboratory Technician;['Affogato'];13;51.81;0.0;0;['morning', 'evening'];group study;FALSE
U0106;Neslihan Balcan;30;female;Academic;Research Assistant;['Americano', 'Affogato'];15;32.95;3.7;8;['afternoon'];group study;FALSE
U0107;Malik Singh;36;male;Support Staff;Campus Maintenance;['Espresso'];14;26.15;4.36;14;['evening'];relaxing;TRUE
U0108;Didem Ağan;38;female;Administrative;Library Staff;['Iced Latte', 'Americano', 'Cappuccino'];9;32.74;4.13;3;['evening'];group study;FALSE
U0109;Anastasia Zhang;29;female;Administrative;Campus Security;['Espresso', 'Turkish Coffee'];4;29.74;3.72;13;['morning', 'evening'];relaxing;TRUE
U0110;Lakshmi Dubois;28;female;Student;Engineering Student;['Mocha', 'Herbal Tea'];13;20.06;4.25;13;['afternoon'];reading;TRUE
U0111;Giorgio Richard;53;male;Support Staff;Research Technician;['Frappe', 'Affogato', 'Espresso'];14;24.45;4.4;7;['evening'];reading;TRUE
U0112;Amina Tanaka;27;female;Support Staff;Cafeteria Staff;['Flat White', 'Turkish Tea'];5;25.58;4.27;3;['afternoon'];studying;TRUE
U0113;Antonio Fischer;36;male;Medical;Hospital Doctor;['Herbal Tea'];13;36.57;3.8;2;['evening'];reading;TRUE
U0114;Marco Schmidt;40;male;Medical;Medical Technician;['Americano', 'Herbal Tea'];7;27.43;3.88;9;['afternoon'];meeting;TRUE
U0115;Eren Ayn;18;male;Student;Arts Student;['Mocha', 'Turkish Tea'];11;10.26;3.89;9;['evening', 'afternoon'];group study;FALSE
U0116;Sezgin Ayverdi;58;male;Academic;Professor;['Iced Latte', 'Cappuccino'];9;58.59;4.27;12;['evening'];reading;FALSE
U0117;Yasemin Aytaş;34;female;Support Staff;Cafeteria Staff;['Americano', 'Latte', 'Espresso'];13;32.2;4.21;14;['morning', 'evening'];reading;FALSE
U0118;Samet Barışcan;47;male;Professional;Financial Advisor;['Mocha', 'Flat White', 'Cappuccino'];9;24.87;3.65;2;['morning', 'afternoon'];meeting;FALSE
U0119;Nilay Azay;52;female;Support Staff;Cafeteria Staff;['Cappuccino', 'Espresso'];10;36.91;4.54;7;['afternoon', 'morning'];working;FALSE
U0120;Serkan Afer;44;male;Academic;Assistant Professor;['Filter Coffee'];11;42.7;3.92;6;['afternoon', 'morning'];working;FALSE
U0121;Lars Evans;46;male;Professional;Financial Advisor;['Cold Brew', 'Iced Latte'];7;21.26;4.6;1;['morning'];studying;TRUE
U0122;Zeki Aydıncan;54;male;Medical;Medical Resident;['Herbal Tea'];15;27.1;4.28;6;['morning', 'afternoon'];reading;FALSE
U0123;Neslihan Aykaç;50;female;Academic;Post-doctoral Researcher;['Iced Latte', 'Turkish Coffee', 'Cold Brew'];8;54.59;4.37;9;['afternoon'];reading;FALSE
U0124;Valentina Schmidt;24;female;Medical;Medical Resident;['Iced Latte'];13;26.92;4.47;4;['morning', 'afternoon'];meeting;TRUE
U0125;Amelia Lee;46;female;Medical;Clinical Researcher;['Turkish Coffee'];11;49.68;3.8;4;['morning'];group study;TRUE
U0126;Ülker Azade;32;female;Administrative;Campus Security;['Frappe'];14;56.52;4.28;8;['afternoon'];relaxing;FALSE
U0127;Furkan Ayveroğluoğlu;26;male;Academic;Lecturer;['Americano', 'Affogato'];6;45.18;3.56;7;['morning'];meeting;FALSE
U0128;Miguel Papadopoulos;26;male;Academic;Lecturer;['Herbal Tea'];7;31.77;4.58;9;['evening'];relaxing;TRUE
U0129;Sıla Aydıntaş;26;female;Support Staff;Campus Maintenance;['Affogato', 'Filter Coffee', 'Espresso'];9;52.76;3.83;7;['morning'];socializing;FALSE
U0130;İbrahim Aymutlu;41;male;Academic;Associate Professor;['Filter Coffee', 'Flat White'];10;40.37;3.59;14;['evening', 'morning'];meeting;FALSE
U0131;Müge Şahin;39;female;Support Staff;Cafeteria Staff;['Turkish Coffee'];12;20.91;3.58;4;['afternoon'];group study;FALSE
U0132;Mohammad Colombo;51;male;Medical;Medical Technician;['Cold Brew', 'Cappuccino', 'Macchiato'];8;22.02;4.44;7;['evening'];meeting;TRUE
U0133;Mikhail Pappas;35;male;Professional;Campus Architect;['Americano'];10;57.12;3.81;14;['afternoon'];studying;TRUE
U0134;Noor Park;48;female;Administrative;Student Affairs Officer;['Mocha', 'Affogato'];15;23.75;3.85;13;['afternoon', 'evening'];meeting;TRUE
U0135;Fatıma Baran;23;female;Student;Engineering Student;['Frappe', 'Turkish Coffee'];11;11.29;3.71;7;['evening', 'afternoon'];working;FALSE
U0136;Uğur Aydıntaş;54;male;Professional;University Lawyer;['Iced Latte', 'Espresso', 'Turkish Coffee'];12;39.68;4.34;5;['evening'];relaxing;FALSE
U0137;Doruk Aydınoğlu;54;neutral;Academic;Research Assistant;['Filter Coffee', 'Mocha'];15;44.06;3.82;6;['evening', 'afternoon'];working;FALSE
U0138;Emel Aytimur;24;female;Student;Arts Student;['Cappuccino', 'Turkish Coffee'];20;25.94;3.49;8;['morning', 'evening'];reading;FALSE
U0139;Juan Wójcik;52;male;Administrative;Department Secretary;['Espresso'];8;56.5;4.36;7;['morning'];socializing;TRUE
U0140;Baran Bala;52;male;Medical;Clinical Researcher;['Affogato', 'Flat White'];8;44.45;4.1;1;['afternoon'];studying;FALSE
U0141;Turgay Ağan;40;male;Academic;Assistant Professor;['Mocha'];14;46.79;3.58;6;['morning'];studying;FALSE
U0142;Pavel Meyer;24;male;Student;Engineering Student;['Cappuccino', 'Affogato'];10;19.6;3.8;14;['evening'];working;TRUE
U0143;Fatıma Demir;39;female;Academic;Associate Professor;['Macchiato', 'Cappuccino', 'Americano'];10;28.26;3.66;13;['morning', 'evening'];working;FALSE
U0144;Kerem Ahmetcan;36;male;Professional;Campus Architect;['Turkish Tea'];4;56.16;4.49;8;['afternoon'];working;FALSE
U0145;Deniz Aydınlı;55;neutral;Professional;University Lawyer;['Frappe', 'Espresso', 'Filter Coffee'];15;47.08;4.04;11;['evening'];working;FALSE
U0146;Min-ho Anderson;29;male;Student;PhD Student;['Frappe'];14;28.87;4.15;11;['evening'];relaxing;TRUE
U0147;Ece Baloğlu;42;female;Administrative;Department Secretary;['Latte', 'Filter Coffee', 'Herbal Tea'];8;40.73;4.27;6;['evening', 'afternoon'];working;FALSE
U0148;Jamal Kuznetsov;29;male;Student;Exchange Student;['Turkish Tea', 'Turkish Coffee'];8;26.16;4.06;9;['evening'];meeting;TRUE
U0149;Arun Karlsson;38;male;Medical;Hospital Doctor;['Herbal Tea', 'Macchiato', 'Latte'];7;40.02;3.88;5;['evening', 'afternoon'];relaxing;TRUE
U0150;Yıldız Ayöztürk;27;female;Professional;University Lawyer;['Latte', 'Cappuccino'];10;45.27;4.53;4;['afternoon', 'morning'];meeting;FALSE
U0151;Meryem Ayözge;42;female;Administrative;Campus Security;['Cappuccino', 'Turkish Tea', 'Mocha'];14;59.94;3.67;6;['afternoon', 'morning'];reading;FALSE
U0152;Zehra Acun;44;female;Academic;Professor;['Affogato', 'Iced Latte', 'Frappe'];7;58.59;3.99;7;['afternoon', 'morning'];working;FALSE
U0153;Rahul Popov;23;male;Student;Engineering Student;['Americano', 'Flat White', 'Macchiato'];8;14.38;4.04;9;['afternoon'];socializing;TRUE
U0154;Ahmed Garcia;48;male;Professional;Financial Advisor;['Frappe'];6;46.67;4.13;3;['morning', 'evening'];working;TRUE
U0155;Amelia Dubois;25;female;Support Staff;Bookstore Staff;['Cold Brew', 'Cappuccino', 'Turkish Tea'];8;38.88;3.75;2;['afternoon'];studying;TRUE
U0156;William Thomas;24;male;Student;Arts Student;['Turkish Tea', 'Affogato'];18;20.97;3.61;14;['evening', 'morning'];socializing;TRUE
U0157;Barış Ayşıl;35;male;Administrative;Student Affairs Officer;['Iced Latte'];11;22.25;4.08;10;['morning'];reading;FALSE
U0158;Mei Pappas;26;female;Medical;Pharmacist;['Macchiato', 'Turkish Tea', 'Cold Brew'];8;57.41;3.6;5;['afternoon'];meeting;TRUE
U0159;Valentina Gonzalez;54;female;Academic;Assistant Professor;['Americano', 'Frappe', 'Herbal Tea'];15;55.49;3.88;4;['evening', 'morning'];socializing;TRUE
U0160;Hiroshi Takahashi;50;male;Medical;Clinical Researcher;['Cold Brew'];14;35.16;3.26;13;['evening', 'morning'];studying;TRUE
U0161;Ayhan Adem;35;neutral;Medical;Hospital Doctor;['Latte'];14;28.54;4.15;6;['evening'];meeting;FALSE
U0162;Jian Gonzalez;24;male;Academic;Post-doctoral Researcher;['Americano'];12;23.58;4.07;13;['evening'];working;TRUE
U0163;Magnus Smith;42;male;Support Staff;Laboratory Technician;['Mocha'];11;53.41;4.45;10;['evening'];group study;TRUE
U0164;Eda Ayşit;30;female;Medical;Medical Resident;['Americano'];8;49.65;3.07;3;['morning'];working;FALSE
U0165;Turgay Ayşirin;20;male;Student;Medical Student;['Latte', 'Americano'];17;17.02;3.51;12;['afternoon', 'morning'];meeting;FALSE
U0166;Divya Evans;25;female;Administrative;Student Affairs Officer;['Affogato'];8;26.53;4.4;12;['morning'];relaxing;TRUE
U0167;Meryem Aykurt;47;female;Support Staff;Cafeteria Staff;['Flat White', 'Mocha'];11;23.06;3.52;5;['afternoon'];working;FALSE
U0168;Ji-eun Williams;54;female;Professional;Mental Health Counselor;['Filter Coffee', 'Turkish Tea'];5;55.7;3.32;9;['afternoon', 'evening'];socializing;TRUE
U0169;Lakshmi Evans;20;female;Student;Arts Student;['Frappe', 'Filter Coffee'];21;25.08;3.97;6;['morning', 'evening'];reading;TRUE
U0170;Çınar Ahyan;26;neutral;Academic;Research Assistant;['Mocha', 'Iced Latte', 'Cold Brew'];6;53.96;3.72;12;['morning'];meeting;FALSE
U0171;Yelda Adnan;42;female;Academic;Professor;['Latte'];5;23.34;3.87;14;['morning', 'evening'];working;FALSE
U0172;Özlem Aydoğdu;54;female;Medical;Pharmacist;['Cold Brew'];8;46.74;4.66;10;['morning'];relaxing;FALSE
U0173;Sakura Popov;51;female;Support Staff;Cafeteria Staff;['Filter Coffee', 'Cappuccino'];9;45.94;4.45;4;['morning', 'evening'];working;TRUE
U0174;Leila Meyer;55;female;Administrative;University Administrator;['Turkish Tea', 'Macchiato', 'Mocha'];12;47.7;4.39;10;['evening'];studying;TRUE
U0175;Uğur Bakır;37;male;Academic;Associate Professor;['Macchiato', 'Frappe', 'Iced Latte'];5;30.95;4.31;9;['afternoon', 'evening'];relaxing;FALSE
U0176;Selin Ağaoğlu;25;female;Student;Master's Student;['Turkish Coffee', 'Herbal Tea', 'Iced Latte'];15;11.97;3.74;13;['afternoon'];reading;FALSE
U0177;Noah Fischer;27;male;Student;PhD Student;['Iced Latte'];11;27.27;3.92;4;['evening'];reading;TRUE
U0178;Ramazan Ayözge;28;male;Student;Exchange Student;['Frappe', 'Iced Latte'];15;19.96;4.5;2;['morning'];socializing;FALSE
U0179;Ece Şahin;39;female;Medical;Pharmacist;['Turkish Tea'];15;52.01;3.7;1;['evening'];meeting;FALSE
U0180;Kader Ayşın;23;female;Professional;Financial Advisor;['Herbal Tea', 'Turkish Tea'];9;40.64;0.0;0;['evening'];socializing;FALSE
U0181;Duygu Ağırtaş;25;female;Academic;Visiting Scholar;['Affogato', 'Herbal Tea', 'Flat White'];12;40.14;4.04;9;['afternoon'];working;FALSE
U0182;Özge Ahmetcan;51;female;Administrative;University Administrator;['Flat White'];15;26.65;3.82;5;['afternoon'];relaxing;FALSE
U0183;Tuba Acar;44;female;Academic;Professor;['Frappe'];13;53.96;4.4;3;['morning'];relaxing;FALSE
U0184;Sofia Smith;48;female;Administrative;Campus Security;['Espresso', 'Latte'];7;28.77;3.59;13;['afternoon'];meeting;TRUE
U0185;Malik Nowak;51;male;Professional;Career Counselor;['Cold Brew'];13;49.19;3.2;1;['afternoon', 'morning'];socializing;TRUE
