review_id;user_id;user_name;cafe_name;cafe_id;rating;date;date
R00016;U0491;Noah Smirnov;777 Coffee House;ChIJGaoqO3R9uRQR7RFRqkpWuLA;4;2024-02-22;2024-02-22
R00017;U1864;Emel Aynaoğlu;CAFE ADALİSA;ChIJ_TCNqcV9uRQRYqiSIRqbO3s;3;2024-01-03;2024-01-03
R00018;U0747;Fatıma Ayveroğlu;Bamteli Cafe;ChIJ76j-WS99uRQRUCKqVZjP1hs;4;2024-05-29;2024-05-29
R00019;U1526;İsmail Ayşun;Bornova Coffy;ChIJJzclqcx9uRQR0sI1QUYH6kg;3;2024-07-26;2024-07-26
R00020;U0816;Yuki Smith;Brew Mood Coffee & Tea;ChIJ7YDYaS99uRQRedw6srQI8e4;5;2024-09-07;2024-09-07
R00021;U0334;Atakan Barlas;Berlin Coffee Shop Bornova;ChIJS8HEOPJ9uRQR7_1Su6u-WuM;4;2024-01-06;2024-01-06
R00022;U0543;Anastasia Smirnov;Üniversite 2 Unlu Mamulleri;ChIJC9sTdiB9uRQR9NjCRqMKqK0;4;2024-01-07;2024-01-07
R00023;U1263;Liam Johansson;REEF COFFEE;ChIJ41LSorl9uRQRh1HfxvB7qTY;4;2025-02-28;2025-02-28
R00024;U1485;Mustafa Ağır;Billionaire Roses;ChIJwTXZ3kl9uRQRZOK8DJYBHH4;4;2024-03-22;2024-03-22
R00025;U0856;Arda Afacan;Hedera Cafe;ChIJH2rlx619uRQR6qjTTAr7OGU;4;2025-01-02;2025-01-02
R00026;U1908;Çağla Aytoğan;Baccy;ChIJ26AikiV9uRQRu5i6vV4SyEQ;3;2024-09-29;2024-09-29
R00027;U1771;Astrid Robert;1x ortaköy kumpircisi;ChIJOb3yk5N9uRQRSuuqS9gtd2I;4;2024-02-04;2024-02-04
R00028;U0464;Aykut Afer;Tatimren Bornova;ChIJ2cfaOy99uRQRnUFXTvDPepM;4;2024-02-16;2024-02-16
R00029;U0244;Eylül Ahraz;Hedera Cafe;ChIJH2rlx619uRQR6qjTTAr7OGU;4;2024-03-09;2024-03-09
R00030;U1707;Mia Bernard;CAFE SİS;ChIJu3P1YTTXuxQR5-qxIcaZOOk;4;2024-10-23;2024-10-23
R00031;U1592;Aykut Bahadır;Yüzellidokuz Patisserie & Espresso;ChIJuZIa5nt9uRQR1R1JMpHHcmg;4;2024-02-07;2024-02-07
R00032;U0663;Amara Mohammed;Luci Caffé Pasticceria;ChIJpfmYGiZ9uRQRt9pVSvt-xa4;4;2025-03-23;2025-03-23
R00033;U0559;Oliver Schneider;Billionaire Roses;ChIJwTXZ3kl9uRQRZOK8DJYBHH4;3;2025-02-12;2025-02-12
R00034;U0637;Rümeysa Afacan;Lis Bornova;ChIJEYCQR4l9uRQRTJaWsFFT0jU;4;2024-10-31;2024-10-31
R00035;U0170;Çınar Ahyan;Kahve Madeni;ChIJR9hPCC99uRQRNwcFT7hRsSM;3;2024-05-13;2024-05-13
R00036;U0709;Liam Wagner;Hola Coffee Company;ChIJJTkWROp9uRQRvkiiZGPt1eY;4;2024-05-04;2024-05-04
R00037;U1029;Ahmed Kumar;More Coffee & Tea;ChIJ8wADeCV9uRQRYypUUdOX3BI;1;2024-02-19;2024-02-19
R00038;U1181;Gülşen Aykaç;Kün Coffee;ChIJTWn7cAB9uRQR2BfjsR6F63I;4;2024-04-19;2024-04-19
R00039;U0928;Priya Singh;More Coffee & Tea;ChIJ8wADeCV9uRQRYypUUdOX3BI;4;2024-09-21;2024-09-21
R00040;U0281;Sakura Zhang;richson coffee;ChIJ9cJGERh9uRQRG_v2vCfopeI;4;2024-12-31;2024-12-31
R00041;U0121;Lars Evans;Küçük Prens Cafeteria;ChIJ1eKKLvd9uRQRseryqhQiJzU;5;2025-01-20;2025-01-20
R00042;U1138;Hui Smirnov;Kiota Coffee;ChIJ-crz_5d9uRQRsrR97U8bG7o;3;2024-08-19;2024-08-19
R00043;U1360;Zeki Baran;Luci Caffé Pasticceria;ChIJpfmYGiZ9uRQRt9pVSvt-xa4;4;2025-03-01;2025-03-01
R00044;U1922;Charlotte Jones;Parle Coffee;ChIJLZ9WMQB9uRQR9gZRQrbe35Y;5;2024-04-20;2024-04-20
R00045;U1019;Tuğçe Ayman;Dostlar Kahvesi maviyol cafe;ChIJLTBjCjF9uRQRvPcgnGOG_-M;4;2024-09-21;2024-09-21
R00046;U0944;Meryem Aytekin;NAGAco Coffee & Bites;ChIJn1yDsJV9uRQRTBjUpZpG4KA;4;2024-11-22;2024-11-22
R00047;U0176;Selin Ağaoğlu;Lis Bornova;ChIJEYCQR4l9uRQRTJaWsFFT0jU;3;2024-01-09;2024-01-09
R00048;U1788;Damla Ayşirin;the Jack Coffee Co.;ChIJe4hptobZuxQRfjVSOVzy3Jw;4;2024-08-17;2024-08-17
R00049;U1294;Alexander Tanaka;Otantic Cafe;ChIJSWT0Vi99uRQRzupf_yK7_68;4;2024-12-09;2024-12-09
R00050;U0168;Ji-eun Williams;Kahve Madeni;ChIJR9hPCC99uRQRNwcFT7hRsSM;3;2024-11-02;2024-11-02
R00051;U1071;Eda Ayşun;Down Kafe;ChIJLfod9SZ9uRQRPWsngI8gAe8;3;2024-04-24;2024-04-24
R00052;U0136;Uğur Aydıntaş;Bakur Cafe;ChIJx_ZQXgB9uRQRIlE9xd7yHoE;4;2024-07-18;2024-07-18
R00053;U0549;Sıla Aykutlu;+1 Down Kafe;ChIJr2W3YSZ9uRQRtM-qsJBnUew;3;2024-03-25;2024-03-25
R00054;U1334;Aybars Baloğlu;Buckin Coffee Bornova;ChIJA89cZr99uRQRGiYJHbYwvZQ;4;2025-02-10;2025-02-10
R00055;U0278;Akın Ahat;Parle Coffee;ChIJLZ9WMQB9uRQR9gZRQrbe35Y;1;2024-02-05;2024-02-05
R00056;U0135;Fatıma Baran;Root Coffee&More;ChIJy1AifRh9uRQRUFMEOe35_HQ;3;2024-02-25;2024-02-25
R00057;U0206;Rabia Ahraz;Poka Coffee Roasters Bornova;ChIJ7b_eweh9uRQRCIGJsYRBi5c;4;2024-11-15;2024-11-15
R00058;U0195;Kader Ağsar;Küçükpark;ChIJy-dwaC99uRQRqOYX7HW0Ap0;3;2025-01-04;2025-01-04
R00059;U1822;Baran Yılmaz;Lus coffee;ChIJ3WpkXEl9uRQR_gwXfExhLTc;4;2025-03-08;2025-03-08
R00060;U1528;Batur Baloğlu;Masha Lounge Nargile Molası;ChIJ-7ClKjB9uRQReSzgpZSpflQ;4;2024-11-01;2024-11-01
R00061;U1173;Sıla Ballı;Küçük Dükkan Coffee&Roastery;ChIJ91zutzl9uRQRP0CoHkmLvWo;4;2024-03-30;2024-03-30
R00062;U0069;Leyla Aytürk;Starbucks;ChIJVfjakiV9uRQRWMG4XRuFloc;4;2024-09-14;2024-09-14
R00063;U1315;Tuğçe Bahar;Chai Tea & Food;ChIJ48lhdiV9uRQRDwdTsfg6YSM;3;2024-12-04;2024-12-04
R00064;U0416;Ece Azap;Leo's Coffee & Kruvasan;ChIJoZREzf19uRQR0VFmvpAOx8E;3;2024-05-04;2024-05-04
R00065;U1454;Berkay Ayşün;Buckin Coffee Bornova;ChIJA89cZr99uRQRGiYJHbYwvZQ;3;2024-03-06;2024-03-06
R00066;U0450;Yüsra Ayvermiş;İzmirli Kahve Bornova Şubesi;ChIJF3dwAj59uRQRhZz6L3smDKw;3;2024-05-20;2024-05-20
R00067;U1281;Chiara Chen;Fısıltı Cafe;ChIJk8SWDS99uRQRbxqPu_8wPjA;3;2025-01-25;2025-01-25
R00068;U1680;Yasemin Balkış;The Doors Coffee;ChIJTUPkJcZ9uRQR0rHZMAad0qk;4;2024-07-08;2024-07-08
R00069;U0774;Bahadır Afer;CAFE SİS;ChIJu3P1YTTXuxQR5-qxIcaZOOk;4;2024-02-10;2024-02-10
R00070;U0453;Seda Ayışığıoğlu;Bakur Cafe;ChIJx_ZQXgB9uRQRIlE9xd7yHoE;3;2024-02-27;2024-02-27
R00071;U1121;Ebru Barışkın;777 Coffee House;ChIJGaoqO3R9uRQR7RFRqkpWuLA;4;2024-01-15;2024-01-15
R00072;U1484;Nilay Aymen;Twin Coffee;ChIJE6yFBNt9uRQR8L0g8r9gPrM;3;2024-08-20;2024-08-20
R00073;U1151;Ömer Çelik;Hola Coffee Company;ChIJJTkWROp9uRQRvkiiZGPt1eY;4;2024-04-28;2024-04-28
R00074;U1328;Lin Karlsson;Espello Coffee;ChIJRVWTAf59uRQRhzwzGKK19NQ;4;2024-04-04;2024-04-04
R00075;U1212;Baran Aytunç;Good For You Bornova;ChIJMeLTvQ99uRQRdON8739WwIo;4;2024-05-12;2024-05-12
R00076;U0919;Baran Aymirza;the Jack Coffee Co.;ChIJe4hptobZuxQRfjVSOVzy3Jw;3;2025-03-29;2025-03-29
R00077;U0894;Alp Ahsin;İzmirli Kahve Bornova Şubesi;ChIJF3dwAj59uRQRhZz6L3smDKw;3;2024-06-20;2024-06-20
R00078;U1922;Charlotte Jones;Bornova Coffy;ChIJJzclqcx9uRQR0sI1QUYH6kg;4;2024-08-07;2024-08-07
R00079;U0358;Batur Adil;REEF COFFEE;ChIJ41LSorl9uRQRh1HfxvB7qTY;4;2024-12-18;2024-12-18
R00080;U0347;Aslan Aynacı;Küçük Prens Cafeteria;ChIJ1eKKLvd9uRQRseryqhQiJzU;4;2024-02-04;2024-02-04
R00081;U0511;Nazlı Ayten;Konsept Coffee Snack;ChIJP-M1DgB9uRQR1CNl-2igFV4;4;2024-09-15;2024-09-15
R00082;U1361;Natasha Liu;Secoffee Villa Küçükpark;ChIJE587bw99uRQR5qpcrzsoLhA;1;2024-02-12;2024-02-12
R00083;U1316;Mercan Ayşın;Bamteli Cafe;ChIJ76j-WS99uRQRUCKqVZjP1hs;4;2025-02-11;2025-02-11
R00084;U1797;Xiao Romano;Rho Coffee;ChIJW2ekQiV9uRQRhiNB-tJl_uI;3;2024-07-25;2024-07-25
R00085;U0501;Jian Wang;Vitamin Cafe;ChIJGb1GkCZ9uRQRjQAwx5lenU8;4;2024-09-18;2024-09-18
R00086;U1552;Nazlı Aytila;Müzikhane;ChIJIy2jCyV9uRQRyDPtkbPh3uE;4;2024-11-08;2024-11-08
R00087;U0441;Duru Aydoğan;Capullocafe;ChIJZ_XRamh9uRQRqQjHhiz2ewY;5;2024-05-15;2024-05-15
R00088;U1019;Tuğçe Ayman;Thug coffee;ChIJu-fYYNB9uRQReN7u8BJj65U;4;2024-07-28;2024-07-28
R00089;U0532;Nilay Baro;Kahve Madeni;ChIJR9hPCC99uRQRNwcFT7hRsSM;4;2024-05-13;2024-05-13
R00090;U1922;Charlotte Jones;Capullocafe;ChIJZ_XRamh9uRQRqQjHhiz2ewY;3;2025-02-04;2025-02-04
R00091;U0297;Şebnem Balkır;Tuck Coffee x Etc Küçükpark;ChIJJ_-qh919uRQRFTFSAUbTiUs;4;2024-02-11;2024-02-11
R00092;U1156;Arjun Pappas;El Manu Mental;ChIJweXBSaJ9uRQRSGzxL96w-SA;4;2024-02-15;2024-02-15
R00093;U1689;Açelya Afacan;1x ortaköy kumpircisi;ChIJOb3yk5N9uRQRSuuqS9gtd2I;4;2024-04-18;2024-04-18
R00094;U0041;Nilay Aytoğan;Staff Pub;ChIJ4YRVkvp9uRQREGGpztb4Io0;4;2024-07-16;2024-07-16
R00095;U0024;Müge Aykın;La Voila;ChIJgbMrlSV9uRQRqYONK9sNwvw;4;2024-02-20;2024-02-20
R00096;U1794;İrem Ahsenullah;Sapsal Kucukpark;ChIJ9RqXIvp9uRQRhkvLfU0PofQ;3;2024-02-05;2024-02-05
R00097;U1608;Mercan Azar;Cafe Karayel;ChIJh1pMQi99uRQRzx7HFfc6j-U;3;2024-09-25;2024-09-25
R00098;U0238;Emre Aydıncan;Dostlar Kahvesi maviyol cafe;ChIJLTBjCjF9uRQRvPcgnGOG_-M;4;2024-11-25;2024-11-25
R00099;U1525;Ming Evans;Cafe Karayel;ChIJh1pMQi99uRQRzx7HFfc6j-U;3;2024-12-29;2024-12-29
R00100;U1012;Min-ho Popov;Derin Cafe Patisserie;ChIJ0cgFxiB9uRQR3US9v4-qDCI;3;2024-07-10;2024-07-10
R00101;U1698;Gökhan Barlas;Twin Coffee;ChIJE6yFBNt9uRQR8L0g8r9gPrM;4;2024-04-22;2024-04-22
R00102;U0483;Tülin Barok;Thug coffee;ChIJu-fYYNB9uRQReN7u8BJj65U;5;2024-02-15;2024-02-15
R00103;U1688;Berkay Aynur;NAGAco Coffee & Bites;ChIJn1yDsJV9uRQRTBjUpZpG4KA;4;2024-12-19;2024-12-19
R00104;U1361;Natasha Liu;ANGEL CAFE;ChIJLeQsfwB9uRQRWG24BWfITi4;1;2024-10-20;2024-10-20
R00105;U0802;Miguel Johansson;Vibe Coffee Co;ChIJtVRF0el9uRQRgQ6bCvKGNsQ;3;2024-03-22;2024-03-22
R00106;U0106;Neslihan Balcan;Cairo Coffee Roastery Bornova;ChIJk-ErS2p9uRQRR1Amn2dBMXk;4;2024-08-18;2024-08-18
R00107;U0296;Elena Johansson;Limon Kahve;ChIJ7_9thTp9uRQRDkDPBtcbbkY;4;2025-01-28;2025-01-28
R00108;U0737;Nihan Azar;Bukalemoon;ChIJEdiY3SV9uRQRhLYPqeSP11I;3;2024-11-16;2024-11-16
R00109;U0638;Özge Barış;Coffee Derya Cavalry Cd.;ChIJdUOAjiV9uRQRfzDP5St3-bI;4;2024-04-18;2024-04-18
R00110;U0044;Zühal Baki;Müzikhane;ChIJIy2jCyV9uRQRyDPtkbPh3uE;5;2024-02-01;2024-02-01
R00111;U1748;Samet Aytoğan;Kontrbus Coffee Co. Bornova;ChIJW2H44Bx9uRQRtCnFuvESEQk;3;2024-02-22;2024-02-22
R00112;U1837;Neslihan Aynacı;Küçük Dükkan Coffee&Roastery;ChIJ91zutzl9uRQRP0CoHkmLvWo;4;2024-04-11;2024-04-11
R00113;U0015;Atakan Barışcan;Üniversite 2 Unlu Mamulleri;ChIJC9sTdiB9uRQR9NjCRqMKqK0;4;2024-10-30;2024-10-30
R00114;U1040;Sıla Ayşıl;1x ortaköy kumpircisi;ChIJOb3yk5N9uRQRSuuqS9gtd2I;2;2025-03-07;2025-03-07
R00115;U1598;Selin Ahat;Cafe Deyim;ChIJV0QqDC99uRQR2l08RJ8Q5-k;4;2024-12-03;2024-12-03
R00116;U0338;Yusuf Ayşit;Berlin Coffee Shop Bornova;ChIJS8HEOPJ9uRQR7_1Su6u-WuM;1;2024-03-23;2024-03-23
R00117;U0960;Samet Barış;Bukalemoon;ChIJEdiY3SV9uRQRhLYPqeSP11I;4;2024-08-08;2024-08-08
R00118;U0794;Yıldız Bahadır;Early Coffee & Roastery;ChIJlYN3_lJ9uRQR78RfGHB3rvA;4;2024-01-31;2024-01-31
R00119;U0283;Hasan Aykın;Staff Pub;ChIJ4YRVkvp9uRQREGGpztb4Io0;3;2024-03-26;2024-03-26
R00120;U1547;Onur Ayışığı;Cohibba Coffee Hookah;ChIJ2aD0WyV9uRQRKv8JeE3dIzw;4;2024-05-27;2024-05-27
R00121;U0744;Eren Azar;CAFE ADALİSA;ChIJ_TCNqcV9uRQRYqiSIRqbO3s;4;2025-03-05;2025-03-05
R00122;U1879;Büşra Bakır;Küçükpark;ChIJy-dwaC99uRQRqOYX7HW0Ap0;4;2024-03-11;2024-03-11
R00123;U0414;Açelya Bahri;Study Cafe;ChIJVzjPEdt9uRQR7geR2MHzrb4;4;2024-10-03;2024-10-03
R00124;U0239;Alper Yılmaz;Kalyan Nargile Evi;ChIJSzqj6iV9uRQR0cNqpZRtwO8;4;2024-12-03;2024-12-03
R00125;U0475;Mehmet Ali Kaya;Kün Coffee;ChIJTWn7cAB9uRQR2BfjsR6F63I;4;2024-02-22;2024-02-22
R00126;U1251;Burak Aykınsoy;Bonó Coffee Bakery;ChIJLcHnR159uRQRmFC1zzCm1fA;4;2025-03-05;2025-03-05
R00127;U0998;Vedat Ahsenullah;Campus Coffe Roastery;ChIJ70afg_l9uRQR33bGP9AHeD4;4;2024-12-08;2024-12-08
R00128;U0452;Turgay Ayveroğlu;Kün Coffee;ChIJTWn7cAB9uRQR2BfjsR6F63I;4;2024-08-24;2024-08-24
R00129;U1117;Can Aykol;Buckin Coffee Bornova;ChIJA89cZr99uRQRGiYJHbYwvZQ;3;2024-05-05;2024-05-05
R00130;U0696;Güneş Baki;Küçük Prens Cafeteria;ChIJ1eKKLvd9uRQRseryqhQiJzU;4;2024-08-19;2024-08-19
R00131;U0226;Benjamin Russo;REEF COFFEE;ChIJ41LSorl9uRQRh1HfxvB7qTY;4;2025-02-16;2025-02-16
R00132;U1653;Melisa Aymutlu;Billionaire Roses;ChIJwTXZ3kl9uRQRZOK8DJYBHH4;3;2024-02-11;2024-02-11
R00133;U1935;Ji-eun Anderson;Rho Coffee;ChIJW2ekQiV9uRQRhiNB-tJl_uI;4;2025-02-22;2025-02-22
R00134;U0969;İpek Bahattin;Suelo Coffee Company;ChIJd3aBnOh9uRQRuqJ5iQZ7Sl0;4;2024-10-07;2024-10-07
R00135;U1901;Oliver Kumar;Üniversite 2 Unlu Mamulleri;ChIJC9sTdiB9uRQR9NjCRqMKqK0;4;2025-02-25;2025-02-25
R00136;U1657;Uğur Barışcan;Cake & Bake;ChIJecw2THp9uRQRfXwfsMsL-58;4;2024-06-03;2024-06-03
R00137;U1521;Ülkü Aykul;Küçükpark;ChIJy-dwaC99uRQRqOYX7HW0Ap0;4;2024-07-07;2024-07-07
R00138;U1713;Simge Ayşegül;Nefes Cafe;ChIJwQGbKyF9uRQRhw7YOSYh8yI;4;2024-05-09;2024-05-09
R00139;U0247;Gamze Aytin;Kasaba;ChIJz8WYeyV9uRQRos-YriUGPms;3;2024-07-20;2024-07-20
R00140;U1013;Gözde Aytunç;Yongacı;ChIJA3P2RCB9uRQRWb3BCy0ZYvQ;4;2024-06-16;2024-06-16
R00141;U0351;Amina Kowalski;El Manu Mental;ChIJweXBSaJ9uRQRSGzxL96w-SA;3;2024-06-28;2024-06-28
R00142;U0427;Xiao Watanabe;Bonó Coffee Bakery;ChIJLcHnR159uRQRmFC1zzCm1fA;4;2025-03-03;2025-03-03
R00143;U1705;Gamze Ahsen;Borbeen Coffee;ChIJ_31bRS99uRQRoAt5_vtPQtM;4;2024-05-11;2024-05-11
R00144;U0392;Ayşe Aykaç;Yüzellidokuz Patisserie & Espresso;ChIJuZIa5nt9uRQR1R1JMpHHcmg;4;2024-08-30;2024-08-30
R00145;U0007;Çınar Ayışığıoğlu;Grissini Cafe / Patisserie;ChIJ_6EaOCR9uRQR92n3LENvHWs;4;2024-10-07;2024-10-07
R00146;U1938;Ömer Aykınsoy;REEF COFFEE;ChIJ41LSorl9uRQRh1HfxvB7qTY;3;2024-03-10;2024-03-10
R00147;U0101;Meryem Azar;Üniversite 2 Unlu Mamulleri;ChIJC9sTdiB9uRQR9NjCRqMKqK0;4;2024-04-04;2024-04-04
R00148;U1258;Muhammed Balkan;Dostlar Kahvesi maviyol cafe;ChIJLTBjCjF9uRQRvPcgnGOG_-M;4;2024-11-01;2024-11-01
R00149;U1568;İpek Ayhanlı;Cafe Deyim;ChIJV0QqDC99uRQR2l08RJ8Q5-k;4;2024-04-02;2024-04-02
R00150;U0535;Reyhan Aytoğan;Küçük Dükkan Coffee&Roastery;ChIJ91zutzl9uRQRP0CoHkmLvWo;3;2024-08-10;2024-08-10
R00151;U0090;Kerem Ahmetcan;Secoffee Villa Küçükpark;ChIJE587bw99uRQR5qpcrzsoLhA;4;2024-04-02;2024-04-02
R00152;U0501;Jian Wang;Rho Coffee;ChIJW2ekQiV9uRQRhiNB-tJl_uI;4;2024-05-26;2024-05-26
R00153;U1544;Aybars Aytaç;Luci Caffé Pasticceria;ChIJpfmYGiZ9uRQRt9pVSvt-xa4;4;2025-01-08;2025-01-08
R00154;U1355;Reyhan Aykoç;Leo's Coffee & Kruvasan;ChIJoZREzf19uRQR0VFmvpAOx8E;4;2024-05-02;2024-05-02
R00155;U0198;Barış Ayşenur;Bee Coffee;ChIJr3C8GLV9uRQRzs9cKsTcuEU;5;2024-07-14;2024-07-14
R00156;U0069;Leyla Aytürk;Root Coffee&More;ChIJy1AifRh9uRQRUFMEOe35_HQ;3;2024-10-30;2024-10-30
R00157;U0830;Omar Weber;Shake it Get fit;ChIJCdxF-At9uRQRtKhY67hskks;3;2024-05-30;2024-05-30
R00158;U0133;Mikhail Pappas;Cirrus Coffe& Bakery;ChIJ62pw14l9uRQR_mnPFE5hOsw;4;2024-10-17;2024-10-17
R00159;U0396;Fatma Aykınsoy;Yüzellidokuz Patisserie & Espresso;ChIJuZIa5nt9uRQR1R1JMpHHcmg;3;2024-12-15;2024-12-15
R00160;U0223;Selda Aytoğan;Hoppa Lounge;ChIJ07glIlh9uRQRXoYxKeT0ef8;4;2024-10-13;2024-10-13
R00161;U1607;Magnus Shah;Sapsal Kucukpark;ChIJ9RqXIvp9uRQRhkvLfU0PofQ;4;2024-11-02;2024-11-02
R00162;U0861;Zeynur Afer;Leo's Coffee & Kruvasan;ChIJoZREzf19uRQR0VFmvpAOx8E;3;2024-01-07;2024-01-07
R00163;U0688;Nuray Aynur;More Coffee & Tea;ChIJ8wADeCV9uRQRYypUUdOX3BI;4;2025-02-02;2025-02-02
R00164;U0750;Mehmet Acar;Cozy Co.;ChIJZfG31ZF9uRQRgTACLCzNlNw;4;2025-03-20;2025-03-20
R00165;U0453;Seda Ayışığıoğlu;PASLI café;ChIJc6g2oZN9uRQRyTay3EL86zU;3;2024-08-14;2024-08-14
R00166;U0109;Anastasia Zhang;CAFE SİS;ChIJu3P1YTTXuxQR5-qxIcaZOOk;3;2025-01-29;2025-01-29
R00167;U0756;Nilay Barokçu;Kalyan Nargile Evi;ChIJSzqj6iV9uRQR0cNqpZRtwO8;4;2024-07-18;2024-07-18
R00168;U1325;Takashi Wójcik;Root Coffee&More;ChIJy1AifRh9uRQRUFMEOe35_HQ;4;2025-02-20;2025-02-20
R00169;U0346;Yelda Balkır;Leo's Coffee & Kruvasan;ChIJoZREzf19uRQR0VFmvpAOx8E;3;2024-08-16;2024-08-16
R00170;U1256;Ayşe Aydoğmuş;Cafe Bahane;ChIJpVcGLCF9uRQRI7hEtBj91Lg;4;2024-09-04;2024-09-04
R00171;U1441;Krishna Anderson;More Coffee & Tea;ChIJ8wADeCV9uRQRYypUUdOX3BI;4;2024-01-30;2024-01-30
R00172;U1475;Muhammed Ayhatun;Vanilla Coffee;ChIJIdgcPm59uRQRIblukRkI-Cc;4;2025-03-09;2025-03-09
R00173;U0133;Mikhail Pappas;Dostlar Kahvesi maviyol cafe;ChIJLTBjCjF9uRQRvPcgnGOG_-M;4;2024-09-26;2024-09-26
R00174;U1309;Ümit Ayten;Küçük Dükkan Coffee&Roastery;ChIJ91zutzl9uRQRP0CoHkmLvWo;4;2025-01-23;2025-01-23
R00175;U0477;Isabella Wójcik;Billionaire Roses;ChIJwTXZ3kl9uRQRZOK8DJYBHH4;2;2024-03-23;2024-03-23
R00176;U0023;Zeki Bahattin;Çınar Evi;ChIJt1Zy-iZ9uRQR_vdJQyGTuak;4;2025-01-26;2025-01-26
R00177;U1334;Aybars Baloğlu;Bukalemoon;ChIJEdiY3SV9uRQRhLYPqeSP11I;4;2024-07-05;2024-07-05
R00178;U0320;İsmail Ayşirin;Campus Coffe Roastery;ChIJ70afg_l9uRQR33bGP9AHeD4;4;2024-11-26;2024-11-26
R00179;U0314;Damla Aydıntaş;Sapsal Kucukpark;ChIJ9RqXIvp9uRQRhkvLfU0PofQ;4;2024-01-31;2024-01-31
R00180;U1868;Jian Rodriguez;Çınar Evi;ChIJt1Zy-iZ9uRQR_vdJQyGTuak;3;2024-05-19;2024-05-19
R00181;U1647;Yelda Aytin;Vanilla Coffee;ChIJIdgcPm59uRQRIblukRkI-Cc;3;2024-11-05;2024-11-05
R00182;U1334;Aybars Baloğlu;Cope of Coffee;ChIJUbrP7CV9uRQR7AubQ5ew9gQ;4;2024-12-28;2024-12-28
R00183;U0565;Chidi Constantinides;Tatimren Bornova;ChIJ2cfaOy99uRQRnUFXTvDPepM;4;2025-02-10;2025-02-10
R00184;U1699;Emre Aynaoğlu;Resmo Roasting Company;ChIJeXk-lDZ9uRQR6jO9tjbFNss;4;2024-12-12;2024-12-12
R00185;U1798;Mia Sato;Base Coffee & More;ChIJFVt0zRrXuxQRPJ40VzZE16k;4;2024-07-27;2024-07-27
R00186;U0621;Hasan Ayşe;Müzikhane;ChIJIy2jCyV9uRQRyDPtkbPh3uE;3;2024-09-02;2024-09-02
R00187;U1698;Gökhan Barlas;Early Coffee & Roastery;ChIJlYN3_lJ9uRQR78RfGHB3rvA;4;2024-12-19;2024-12-19
R00188;U0259;Carlos Garcia;Cafe Friendzone 3rd Wave Coffee & Roastery;ChIJzQIahEp9uRQRG80hOSKwnp4;3;2024-09-06;2024-09-06
R00189;U0087;Nalan Aydınlı;Cafe Deyim;ChIJV0QqDC99uRQR2l08RJ8Q5-k;4;2025-01-08;2025-01-08
R00190;U1833;Divya Fischer;Cafe Deyim;ChIJV0QqDC99uRQR2l08RJ8Q5-k;4;2024-02-01;2024-02-01
R00191;U0847;Melisa Aykutsoy;Poka Coffee Roasters Bornova;ChIJ7b_eweh9uRQRCIGJsYRBi5c;4;2024-07-13;2024-07-13
R00192;U1965;Mohammad Nilsson;the Jack Coffee Co.;ChIJe4hptobZuxQRfjVSOVzy3Jw;3;2025-02-19;2025-02-19
